indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType
Age19_HIP_1300,1,132,Test,19,16.7717167672393,Combined,GAM
Age19_HYP_108,1,123,Test,19,19.8661710724175,Combined,GAM
Age19_HIP_1454,2,179,Test,19,18.6319505627741,Combined,GAM
Age19_LLNS18_3608,2,198,Test,19,14.8411052769462,Combined,GAM
Age20_HIP_5369,2,193,Test,20,18.5372238037022,Combined,GAM
Age21_HIP_5056,1,98,Test,21,20.4236005977287,Combined,GAM
Age21_HIP_4234,1,110,Test,21,13.8743647418214,Combined,GAM
Age23_HIP_1716,2,180,Test,23,14.8392536115112,Combined,GAM
Age23_HIP_2753,1,126,Test,23,17.7226295810854,Combined,GAM
Age29_HIP_6730,2,236,Test,29,25.8361152841758,Combined,GAM
